Qubit,Value,RGB1,RGB2,RGB3
Q0,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408
Q1,0.005146994791841461,0.8106543271652416,0.9218447051984724,0.9373759048616408
Q2,0.00624206010796777,0.763897854764939,0.7572688769419182,0.9494023023345208
Q3,0.008748299505487016,0.8299576787894204,0.5632024035248271,0.7762744444444444
Q4,0.0034697525410923376,0.7576693751824222,0.47696440257052414,0.4377552097141371
Q5,0.0035084951464780557,0.4587619752319175,0.48057366087571074,0.19972785287539777
Q6,0.001816441271975634,0.17004232121057958,0.43679759647517286,0.2237255555555555
Q7,0.006641875401800737,0.10361479515598847,0.09497494261006116,0.20622110711523312
Q8,0.0038706740441110375,0.08259385956193721,0.27284810506762325,0.3077201223179875
Q9,0.0029085013731081064,0.17004232121057958,0.43679759647517286,0.2237255555555555
Q10,0.002559765379527354,0.4587619752319175,0.48057366087571074,0.19972785287539777
Q11,0.008321379399056972,0.7576693751824222,0.47696440257052414,0.4377552097141371
Q12,0.005795126775697497,0.8299576787894204,0.5632024035248271,0.7762744444444444
Q13,0.003979812713217392,0.763897854764939,0.7572688769419182,0.9494023023345208
Q0,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408
Q1,0.005798992188172453,0.8106543271652416,0.9218447051984724,0.9373759048616408
Q2,0.0024854387254775127,0.763897854764939,0.7572688769419182,0.9494023023345208
Q3,0.006515145870211103,0.8299576787894204,0.5632024035248271,0.7762744444444444
Q4,0.0030306719563521043,0.7576693751824222,0.47696440257052414,0.4377552097141371
Q5,0.0022469464202858206,0.4587619752319175,0.48057366087571074,0.19972785287539777
Q6,0.0014953904136158888,0.17004232121057958,0.43679759647517286,0.2237255555555555
Q7,0.0046102615753237305,0.10361479515598847,0.09497494261006116,0.20622110711523312
Q8,0.0021987875371120126,0.08259385956193721,0.27284810506762325,0.3077201223179875
Q9,0.0014943247769169667,0.17004232121057958,0.43679759647517286,0.2237255555555555
Q10,0.0019474459428993549,0.4587619752319175,0.48057366087571074,0.19972785287539777
Q11,0.0074288854548691515,0.7576693751824222,0.47696440257052414,0.4377552097141371
Q12,0.0053959548857541876,0.8299576787894204,0.5632024035248271,0.7762744444444444
Q13,0.0038928574406432315,0.763897854764939,0.7572688769419182,0.9494023023345208
Q0,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408
Q1,0.004969776547783959,0.8106543271652416,0.9218447051984724,0.9373759048616408
Q2,0.00450702726133925,0.763897854764939,0.7572688769419182,0.9494023023345208
Q3,0.006748974203774237,0.8299576787894204,0.5632024035248271,0.7762744444444444
Q4,0.003968316413119454,0.7576693751824222,0.47696440257052414,0.4377552097141371
Q5,0.0019069688290949851,0.4587619752319175,0.48057366087571074,0.19972785287539777
Q6,0.0016693785010602805,0.17004232121057958,0.43679759647517286,0.2237255555555555
Q7,0.004782433093262565,0.10361479515598847,0.09497494261006116,0.20622110711523312
Q8,0.0033178633661104153,0.08259385956193721,0.27284810506762325,0.3077201223179875
Q9,0.002180316067719271,0.17004232121057958,0.43679759647517286,0.2237255555555555
Q10,0.0021044656789053983,0.4587619752319175,0.48057366087571074,0.19972785287539777
Q11,0.007146742146030922,0.7576693751824222,0.47696440257052414,0.4377552097141371
Q12,0.004268150473157573,0.8299576787894204,0.5632024035248271,0.7762744444444444
Q13,0.006081583474404209,0.763897854764939,0.7572688769419182,0.9494023023345208
Q0,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408
Q1,0.0064925313490191315,0.8106543271652416,0.9218447051984724,0.9373759048616408
Q2,0.004830106065475072,0.763897854764939,0.7572688769419182,0.9494023023345208
Q3,0.0072301473595155,0.8299576787894204,0.5632024035248271,0.7762744444444444
Q4,0.0018549088199627045,0.7576693751824222,0.47696440257052414,0.4377552097141371
Q5,0.0023421271242256504,0.4587619752319175,0.48057366087571074,0.19972785287539777
Q6,0.001280188409374703,0.17004232121057958,0.43679759647517286,0.2237255555555555
